Rank,Ticker,Company
1,BBCA,Bank Central Asia Tbk.
2,DCII,DCI Indonesia Tbk.
3,BREN,Barito Renewables Energy Tbk.
4,BBRI,Bank Rakyat Indonesia (Persero) Tbk.
5,BYAN,Bayan Resources Tbk.
6,BMRI,Bank Mandiri (Persero) Tbk.
7,MORA,Ekamas Mora Republik Tbk.
8,TLKM,Telkom Indonesia (Persero) Tbk.
9,AMMN,Amman Mineral Internasional Tbk.
10,ASII,Astra International Tbk.
11,DSSA,Dian Swastatika Sentosa Tbk.
12,TPIA,Chandra Asri Pacific Tbk.
13,SMMA,Sinarmas Multiartha Tbk.
14,DNET,Indoritel Makmur Internasional Tbk.
15,SRAJ,Sejahteraraya Anugrahjaya Tbk.
16,BRPT,Barito Pacific Tbk.
17,BBNI,Bank Negara Indonesia (Persero) Tbk.
18,PANI,Pantai Indah Kapuk Dua Tbk.
19,CASA,Capital Financial Indonesia Tbk.
20,MPRO,Maha Properti Indonesia Tbk.
21,UNTR,United Tractors Tbk.
22,EMAS,Merdeka Gold Resources Tbk.
23,BNLI,Bank Permata Tbk.
24,ICBP,Indofood CBP Sukses Makmur Tbk.
25,HMSP,HM Sampoerna Tbk.
26,BRIS,Bank Syariah Indonesia (Persero) Tbk.
27,IMPC,Impack Pratama Industri Tbk.
28,CDIA,Chandra Daya Investasi Tbk.
29,UNVR,Unilever Indonesia Tbk.
30,BRMS,Bumi Resources Minerals Tbk.
31,ADRO,Alamtri Resources Indonesia Tbk.
32,ANTM,Aneka Tambang Tbk.
33,AADI,Adaro Andalan Indonesia Tbk.
34,CUAN,Petrindo Jaya Kreasi Tbk.
35,MDKA,Merdeka Copper Gold Tbk.
36,INDF,Indofood Sukses Makmur Tbk.
37,GOTO,GoTo Gojek Tokopedia Tbk.
38,AMRT,Sumber Alfaria Trijaya Tbk.
39,ISAT,Indosat Tbk.
40,CPIN,Charoen Pokphand Indonesia Tbk.
41,ADMR,Alamtri Minerals Indonesia Tbk.
42,MBMA,Merdeka Battery Materials Tbk.
43,SUPR,Solusi Tunas Pratama Tbk.
44,NCKL,Trimegah Bangun Persada Tbk.
45,BUMI,Bumi Resources Tbk.
46,MEGA,Bank Mega Tbk.
47,MTEL,Dayamitra Telekomunikasi Tbk.
48,INCO,Vale Indonesia Tbk.
49,EXCL,XLSMART Telecom Sejahtera Tbk.
50,MYOR,Mayora Indah Tbk.
Tambahan,JGLE,Graha Andrasentra Propertindo Tbk.
